"New_Client_Id_Client";"sending_date_group";"is_opened_retreated";"is_clicked";"mailing_id";"email_id";"min_sending_date";"email_count"
295522;2021-11-08;FALSE;FALSE;"37;38";"1319104";2021-11-08;2
295522;2023-02-10;FALSE;FALSE;"3389";"1319104";2023-02-10;1
295523;2022-04-03;FALSE;FALSE;"2823";"2123627";2022-04-03;1
295525;2018-11-06;FALSE;FALSE;"37;38";"1282990";2018-11-06;2
295525;2019-10-10;FALSE;FALSE;"39;40";"1282990";2019-10-10;2
295525;2019-11-27;FALSE;FALSE;"39";"1282990";2019-11-27;1
295525;2019-12-10;FALSE;FALSE;"40";"1282990";2019-12-10;1
295525;2020-08-09;FALSE;FALSE;"39;40";"1282990";2020-08-09;2
295531;2018-10-31;FALSE;FALSE;"37;38";"593134";2018-10-31;2
295531;2019-04-17;TRUE;FALSE;"37;38";"593134";2019-04-17;2
295531;2022-06-12;TRUE;FALSE;"3151";"593134";2022-06-12;1
295531;2022-11-29;TRUE;FALSE;"3389";"593134";2022-11-29;1
295531;2023-04-04;TRUE;FALSE;"3389";"593134";2023-04-04;1
295531;2023-07-09;TRUE;FALSE;"3980";"593134";2023-07-09;1
295537;2020-12-16;TRUE;FALSE;"12;13";"1852836";2020-12-16;2
295540;2019-01-04;TRUE;FALSE;"12;13";"1330147";2019-01-04;2
295542;2019-12-21;FALSE;FALSE;"12;13";"1463993";2019-12-21;2
295545;2019-07-08;TRUE;FALSE;"37;38";"1391286";2019-07-08;2
295546;2022-12-02;TRUE;FALSE;"3389";"1781871";2022-12-02;1
295552;2019-07-01;FALSE;FALSE;"37;38";"946989";2019-07-01;2
295552;2020-07-11;FALSE;FALSE;"37;38";"946989";2020-07-11;2
295552;2020-08-12;FALSE;FALSE;"37;38";"946989";2020-08-12;2
295552;2020-10-07;FALSE;FALSE;"37;38";"946989";2020-10-07;2
295555;2020-12-19;FALSE;FALSE;"39;40";"581502";2020-12-19;2
295555;2021-02-11;FALSE;FALSE;"37;38";"581502";2021-02-11;2
295555;2021-10-22;TRUE;TRUE;"37;38";"581502";2021-10-22;2
295555;2023-01-26;TRUE;FALSE;"3389";"581502";2023-01-26;1
